DAUID,TOPIC_THEME,TEXT_ID,TEXT_NAME_NOM,T_DATA_DONNEE,M_DATA_DONNEE,F_DATA_DONNEE
35060101,Language,7002,  French only,2.7,0,5.4
35060101,Language,8006,Official language minority (percentage),36.1,37.1,35.1
35060102,Language,7002,  French only,2.4,1.6,4.6
35060102,Language,8006,Official language minority (percentage),35.4,32.8,39.4
35060103,Language,7002,  French only,1.2,2.5,0
35060103,Language,8006,Official language minority (percentage),30.5,30.8,31
35060104,Language,7002,  French only,4.2,3.3,4.9
35060104,Language,8006,Official language minority (percentage),41.3,40,41
35060105,Language,7002,  French only,1.8,1.3,3.5
35060105,Language,8006,Official language minority (percentage),46.3,44.9,47.7
35060106,Language,7002,  French only,1.2,2.4,2.2
35060106,Language,8006,Official language minority (percentage),39.5,39,39.1
35060107,Language,7002,  French only,2.8,1.9,3.6
35060107,Language,8006,Official language minority (percentage),40.8,38.8,41.8
35060108,Language,7002,  French only,2.2,2.2,4.3
35060108,Language,8006,Official language minority (percentage),28.3,28.9,28.3
35060109,Language,7002,  French only,2.6,1.9,3.2
35060109,Language,8006,Official language minority (percentage),30.8,31.5,30.6
35060110,Language,7002,  French only,2.8,3.9,1.7
35060110,Language,8006,Official language minority (percentage),31.2,30.8,29.3
35060111,Language,7002,  French only,1.3,1.4,2.5
35060111,Language,8006,Official language minority (percentage),24.8,23.6,25
35060112,Language,7002,  French only,2.3,1.3,2.6
35060112,Language,8006,Official language minority (percentage),27,26.5,27.5
35060116,Language,7002,  French only,1.8,3.7,3.4
35060116,Language,8006,Official language minority (percentage),31.6,29.6,33.3
35060117,Language,7002,  French only,0,0,0
35060117,Language,8006,Official language minority (percentage),21.4,17,26
35060118,Language,7002,  French only,2.2,2.6,2
35060118,Language,8006,Official language minority (percentage),27,25.6,30
35060119,Language,7002,  French only,1.7,1.8,1.6
35060119,Language,8006,Official language minority (percentage),36.9,33.9,39.5
35060120,Language,7002,  French only,3.7,5.4,2.3
35060120,Language,8006,Official language minority (percentage),34.1,29.7,35.6
35060121,Language,7002,  French only,0.7,1.4,1.4
35060121,Language,8006,Official language minority (percentage),24.5,22.5,26.1
35060122,Language,7002,  French only,0.9,0,1.8
35060122,Language,8006,Official language minority (percentage),26.2,25.5,28.1
35060123,Language,7002,  French only,1.4,3.3,2.4
35060123,Language,8006,Official language minority (percentage),37.5,33.3,38.1
35060124,Language,7002,  French only,1.4,0,2.6
35060124,Language,8006,Official language minority (percentage),27,25.7,28.2
35060125,Language,7002,  French only,4.8,4.8,7.1
35060125,Language,8006,Official language minority (percentage),47.6,43.9,48.8
35060126,Language,7002,  French only,3.7,1.7,5.6
35060126,Language,8006,Official language minority (percentage),42.7,43.6,41.9
35060127,Language,7002,  French only,6.6,2.8,8.8
35060127,Language,8006,Official language minority (percentage),53.6,51.4,55
35060128,Language,7002,  French only,5.7,5.3,4.1
35060128,Language,8006,Official language minority (percentage),41.4,39.5,40.8
35060129,Language,7002,  French only,2.3,2.9,1.8
35060129,Language,8006,Official language minority (percentage),39.1,36.9,40.5
35060132,Language,7002,  French only,2.1,1.1,2.1
35060132,Language,8006,Official language minority (percentage),27.9,28.7,28.1
35060133,Language,7002,  French only,2.3,2.4,3.4
35060133,Language,8006,Official language minority (percentage),27.7,25.9,29.2
